city,tag,value,cnt
北京市,age,19-23,775
北京市,age,24-30,658
北京市,age,31-40,412
北京市,age,41-50,240
北京市,age,50以上,14
北京市,app_category,即时通讯,1637
北京市,app_category,在线视频,1393
北京市,app_category,地图导航,1342
北京市,app_category,综合电商,1258
北京市,app_category,支付结算,1239
北京市,app_category,终端商店,1025
北京市,app_category,综合资讯,972
北京市,app_category,输入法,939
北京市,app_category,在线音乐,906
北京市,app_category,浏览器,903
北京市,app_category,微博社交,782
北京市,app_category,社交通讯,773
北京市,app_category,短视频,722
北京市,app_category,WiFi,659
北京市,app_category,资讯|新闻资讯,657
北京市,app_category,共享单车,654
北京市,app_category,安全服务,629
北京市,app_category,用车服务,562
北京市,app_category,搜索下载,532
北京市,app_category,应用商店,492
北京市,app_category,外卖服务,480
北京市,app_category,生活|免费Wifi,478
北京市,app_category,社区交友,475
北京市,app_category,电子书,442
北京市,app_category,电子文档,401
北京市,app_category,即时战略,399
北京市,app_category,天气服务,397
北京市,app_category,电子邮件,379
北京市,app_category,云盘存储,365
北京市,app_category,网络K歌,365
北京市,app_category,营业厅,362
北京市,app_category,在线团购,343
北京市,app_category,网上银行,335
北京市,app_category,游戏平台,314
北京市,app_category,手机工具|其他工具,314
北京市,app_category,照相机,310
北京市,app_category,本地生活,308
北京市,app_category,手机工具,304
北京市,app_category,影音|视频,292
北京市,app_category,性能优化,289
北京市,app_category,棋牌游戏,282
北京市,app_category,益智休闲,268
北京市,app_category,火车服务,267
北京市,app_category,工作|文件编辑,266
北京市,app_category,消除游戏,262
北京市,app_category,图片美化,254
北京市,app_category,聚合视频,245
北京市,app_category,娱乐直播,241
北京市,app_category,在线旅游,240
北京市,app_category,效率办公,222
北京市,app_category,广播电台,210
北京市,app_category,词典翻译,206
北京市,app_category,生活|天气,201
北京市,app_category,语音助手,194
北京市,app_category,游戏直播,186
北京市,app_category,手机动漫,185
北京市,app_category,求职招聘,182
北京市,app_category,分类信息,182
北京市,app_category,游戏助手,180
北京市,app_category,二手交易,170
北京市,app_category,K12,163
北京市,app_category,手机工具|浏览器,158
北京市,app_category,教育|词典翻译,144
北京市,app_category,论坛贴吧,138
北京市,app_category,违章查询,137
北京市,app_category,公交服务,137
北京市,app_category,生鲜电商,136
北京市,app_category,幽默段子,134
北京市,app_category,飞行射击,130
北京市,app_category,导购分享,129
北京市,app_category,综合理财,127
北京市,app_category,教育|中小学教育,126
北京市,app_category,赛车跑酷,122
北京市,app_category,运动健身,118
北京市,app_category,百科问答,118
北京市,app_category,汽车资讯,117
北京市,app_category,快递物流,115
北京市,app_category,股票交易,115
北京市,app_category,语言学习,109
北京市,app_category,其它|其他,109
北京市,app_category,影音|音乐,101
北京市,app_category,社交通讯|即时通讯,101
北京市,app_category,垂直电商,100
北京市,app_category,模拟经营,94
北京市,app_category,手机工具|系统工具,93
北京市,app_category,房屋租赁,93
北京市,app_category,角色扮演,90
北京市,app_category,电影演出,87
北京市,app_category,卡牌游戏,85
北京市,app_category,电视直播,85
北京市,app_category,教育|早教/学前教育,84
北京市,app_category,游戏,80
北京市,app_category,视频播放器,80
