value,count
0,50
0,50
0.021931147,127
0.021931147,100
0.021931147,185
0.021931147,185
0.021931147,101
0.022184514,61
0.022184514,61
0.024257388,57
0.024257388,75
0.024257388,75
0.025613032,74
0.025613032,98
0.025613032,65
0.025613032,98
0.025613032,53
0.02603512,54
0.02603512,54
0.026065934,63
0.026065934,63
0.026096052,218
0.026096052,218
0.026096052,108
0.026096052,135
0.026096052,118
0.026170382,73
0.026170382,54
0.026170382,73
0.02676678,148
0.02676678,105
0.02676678,103
0.02676678,68
0.02676678,148
0.026841402,116
0.026841402,153
0.026841402,103
0.026841402,153
0.026841402,72
0.027300602,153
0.027300602,222
0.027300602,145
0.027300602,222
0.027300602,97
0.027726194,55
0.027726194,55
0.027798781,187
0.027798781,118
0.027798781,187
0.027798781,80
0.027798781,127
0.027826788,103
0.027826788,159
0.027826788,66
0.027826788,113
0.027826788,159
0.027840348,231
0.027840348,333
0.027840348,208
0.027840348,333
0.027840348,154
0.028138794,78
0.028138794,122
0.028138794,122
0.028138794,58
0.028138794,83
0.028197028,109
0.028197028,79
0.028197028,71
0.028197028,109
0.028206317,84
0.028206317,133
0.028206317,133
0.028206317,63
0.028206317,92
0.028214121,54
0.028214121,96
0.028214121,96
0.028214121,65
0.028272685,71
0.028272685,59
0.028272685,97
0.028272685,97
0.028491689,60
0.028491689,87
0.028491689,87
0.028491689,62
0.028620543,201
0.028620543,331
0.028620543,331
0.028620543,139
0.028620543,213
0.032629345,55
0.032629345,68
0.032629345,54
0.032629345,68
0.03317202,69
0.03317202,86
0.03317202,50
0.03317202,114
0.03317202,114
0.033758927,106
0.033758927,77
0.033758927,106
0.033758927,54
0.033758927,76
0.03392839,98
0.03392839,62
0.03392839,67
0.03392839,98
0.034242034,76
0.034242034,76
0.034242034,108
0.034242034,108
0.034459233,73
0.034459233,65
0.034459233,97
0.034459233,97
0.034459233,50
0.034597524,58
0.034597524,80
0.034597524,80
0.034717616,96
0.034717616,96
0.034717616,51
0.034717616,60
0.034717616,55
0.034760043,143
0.034760043,123
0.034760043,223
0.034760043,223
0.034760043,115
0.034896843,117
0.034896843,56
0.034896843,117
0.034896843,75
0.034898616,78
0.034898616,100
0.034898616,61
0.034898616,100
0.03498174,58
0.03498174,58
0.03503462,85
0.03503462,54
0.03503462,66
0.03503462,85
0.03506793,59
0.03506793,62
0.03506793,92
0.03506793,92
0.03511652,169
0.03511652,114
0.03511652,131
0.03511652,72
0.03511652,169
0.035131782,53
0.035131782,53
0.03516162,62
0.03516162,62
0.03546083,78
0.03546083,78
0.03546083,52
0.035548717,52
0.035548717,78
0.035548717,78
0.035552662,55
0.035552662,77
0.035552662,50
0.035552662,77
0.03600801,146
0.03600801,165
0.03600801,100
0.03600801,236
0.03600801,236
0.036266427,61
0.036266427,120
0.036266427,120
0.036266427,55
0.036266427,80
0.03665299,62
0.03665299,62
0.036814503,89
0.036814503,89
0.036814503,71
0.036814503,57
0.03691943,53
0.03691943,53
0.04009678,50
0.04009678,50
0.0404825,50
0.0404825,69
0.0404825,69
0.04049634,106
0.04049634,72
0.04049634,77
0.04049634,58
0.04049634,106
0.04059569,145
0.04059569,186
0.04059569,125
0.04059569,246
0.04059569,246
0.04091096,77
0.04091096,52
0.04091096,56
0.04091096,77
0.040962048,55
0.040962048,55
0.04104302,60
0.04104302,85
0.04104302,67
0.04104302,130
0.04104302,130
0.041215003,51
0.041215003,59
0.041215003,59
0.04126469,136
0.04126469,143
0.04126469,89
0.04126469,190
0.04126469,190
0.04131353,228
0.04131353,135
0.04131353,162
0.04131353,104
0.04131353,228
0.04134136,114
0.04134136,72
0.04134136,73
0.04134136,114
0.04136126,360
0.04136126,211
0.04136126,245
0.04136126,156
0.04136126,360
0.041418787,79
0.041418787,113
0.041418787,78
0.041418787,113
0.041418787,57
0.041457634,77
0.041457634,77
0.041479073,181
0.041479073,124
0.041479073,181
0.041479073,84
0.041479073,138
0.04169181,51
0.04169181,69
0.04169181,69
0.041729107,206
0.041729107,133
0.041729107,206
0.041729107,97
0.041729107,151
0.042102583,91
0.042102583,66
0.042102583,61
0.042102583,91
0.042206578,92
0.042206578,84
0.042206578,130
0.042206578,130
0.042206578,62
0.042424344,140
0.042424344,133
0.042424344,203
0.042424344,203
0.042424344,94
0.042542618,331
0.042542618,331
0.042542618,157
0.042542618,246
0.042542618,215
0.04259221,113
0.04259221,113
0.04259221,82
0.04259221,92
0.04259221,64
0.04264807,185
0.04264807,103
0.04264807,117
0.04264807,77
0.04264807,185
0.043079432,54
0.043079432,54
0.04327043,211
0.04327043,139
0.04327043,317
0.04327043,317
0.04327043,192
0.043645915,169
0.043645915,245
0.043645915,156
0.043645915,245
0.043645915,103
0.043862294,110
0.043862294,77
0.043862294,110
0.043862294,65
0.044060025,141
0.044060025,203
0.044060025,131
0.044060025,203
0.044060025,101
0.044104416,141
0.044104416,209
0.044104416,133
0.044104416,209
0.044104416,96
0.044125907,278
0.044125907,459
0.044125907,611
0.044125907,387
0.044125907,611
0.044369027,51
0.044369027,51
0.044598933,67
0.044598933,113
0.044598933,113
0.044598933,53
0.044598933,75
0.04469123,124
0.04469123,147
0.04469123,77
0.04469123,201
0.04469123,201
0.044700846,136
0.044700846,136
0.044700846,66
0.044700846,94
0.044700846,90
0.04470595,66
0.04470595,154
0.04470595,154
0.04470595,101
0.04470595,116
0.044811144,287
0.044811144,135
0.044811144,219
0.044811144,185
0.044811144,287
0.04481411,176
0.04481411,219
0.04481411,139
0.04481411,293
0.04481411,293
0.044895615,130
0.044895615,130
0.044895615,55
0.044895615,95
0.044895615,86
0.045158256,68
0.045158256,68
0.045362487,169
0.045362487,227
0.045362487,153
0.045362487,227
0.045362487,107
0.04645473,70
0.04645473,70
0.04670996,63
0.04670996,63
0.047418617,55
0.047418617,55
0.047546513,119
0.047546513,162
0.047546513,95
0.047546513,162
0.047546513,90
0.047612008,113
0.047612008,148
0.047612008,96
0.047612008,148
0.047612008,73
0.04806474,66
0.04806474,52
0.04806474,66
0.048087038,70
0.048087038,93
0.048087038,56
0.048087038,93
0.048101738,69
0.048101738,115
0.048101738,83
0.048101738,115
0.04831401,50
0.04831401,54
0.04831401,73
0.04831401,73
0.048326213,125
0.048326213,82
0.048326213,125
0.048326213,68
0.048326213,94
0.04843723,146
0.04843723,163
0.04843723,111
0.04843723,243
0.04843723,243
0.048452068,58
0.048452068,92
0.048452068,92
0.04845286,132
0.04845286,91
0.04845286,101
0.04845286,70
0.04845286,132
0.04858791,71
0.04858791,79
0.04858791,60
0.04858791,105
0.04858791,105
0.048637386,57
0.048637386,57
0.048847426,107
0.048847426,67
0.048847426,107
0.048847426,62
0.049023934,52
0.049023934,58
0.049023934,81
0.049023934,81
0.0494276,54
0.0494276,77
0.0494276,77
0.04946014,135
0.04946014,159
0.04946014,91
0.04946014,207
0.04946014,207
0.049585957,82
0.049585957,137
0.049585957,137
0.049585957,58
0.049585957,96
0.049772866,125
0.049772866,125
0.049772866,53
0.049772866,82
0.049772866,80
0.05014527,76
0.05014527,76
0.05021186,156
0.05021186,96
0.05021186,111
0.05021186,71
0.05021186,156
0.050390143,75
0.050390143,105
0.050390143,105
0.050390143,79
0.050453532,141
0.050453532,121
0.050453532,189
0.050453532,189
0.050453532,82
0.051091727,75
0.051091727,116
0.051091727,92
0.051091727,116
0.05117447,174
0.05117447,104
0.05117447,105
0.05117447,60
0.05117447,174
0.051226065,55
0.051226065,73
0.051226065,73
0.051329177,170
0.051329177,101
0.051329177,170
0.051329177,68
0.051329177,117
0.05140208,236
0.05140208,278
0.05140208,185
0.05140208,385
0.05140208,385
0.051534258,101
0.051534258,128
0.051534258,79
0.051534258,128
0.051534258,52
0.05154871,95
0.05154871,62
0.05154871,67
0.05154871,95
0.051551897,250
0.051551897,149
0.051551897,250
0.051551897,125
0.051551897,167
0.051648308,59
0.051648308,59
0.05207024,99
0.05207024,99
0.05207024,67
0.05207024,67
0.05207024,55
0.05209112,105
0.05209112,131
0.05209112,72
0.05209112,178
0.05209112,178
0.05211676,162
0.05211676,106
0.05211676,120
0.05211676,75
0.05211676,162
0.05213187,86
0.05213187,86
0.05213187,60
0.05213187,62
0.052192103,196
0.052192103,113
0.052192103,196
0.052192103,91
0.052192103,129
0.052340765,66
0.052340765,97
0.052340765,61
0.052340765,97
0.05264608,50
0.05264608,50
0.05265627,89
0.05265627,89
0.05265627,50
0.05265627,59
0.052726567,75
0.052726567,130
0.052726567,130
0.052726567,89
0.052749954,173
0.052749954,173
0.052749954,90
0.052749954,127
0.052749954,109
0.05315598,61
0.05315598,61
0.053466093,82
0.053466093,120
0.053466093,73
0.053466093,120
0.05353356,74
0.05353356,166
0.05353356,166
0.05353356,114
0.05353356,115
0.053682804,87
0.053682804,115
0.053682804,74
0.053682804,115
0.053682804,56
0.054286536,86
0.054286536,128
0.054286536,71
0.054286536,128
0.054286536,68
0.054601204,164
0.054601204,234
0.054601204,152
0.054601204,234
0.054601204,97
0.05465579,61
0.05465579,61
0.054874577,91
0.054874577,147
0.054874577,79
0.054874577,111
0.054874577,147
0.055120077,133
0.055120077,53
0.055120077,94
0.055120077,84
0.055120077,133
0.055163592,81
0.055163592,81
0.05522943,56
0.05522943,56
0.05540547,114
0.05540547,82
0.05540547,91
0.05540547,56
0.05540547,114
0.055597562,134
0.055597562,85
0.055597562,134
0.055597562,73
0.055597562,94
0.055653576,124
0.055653576,201
0.055653576,116
0.055653576,201
0.055653576,83
0.055679232,69
0.055679232,111
0.055679232,56
0.055679232,77
0.055679232,111
0.055680696,158
0.055680696,229
0.055680696,147
0.055680696,229
0.055680696,102
0.055720843,60
0.055720843,87
0.055720843,51
0.055720843,87
0.05576155,95
0.05576155,223
0.05576155,223
0.05576155,124
0.05576155,146
0.055835567,73
0.055835567,53
0.055835567,73
0.055835567,57
0.055893317,82
0.055893317,135
0.055893317,59
0.055893317,91
0.055893317,135
0.05596426,84
0.05596426,84
0.05596426,57
0.05596426,66
0.055986304,53
0.055986304,72
0.055986304,72
0.056277588,67
0.056277588,92
0.056277588,52
0.056277588,92
0.056394055,68
0.056394055,68
0.056412634,68
0.056412634,68
0.05654537,85
0.05654537,85
0.05654537,62
0.05654537,71
0.05654624,59
0.05654624,68
0.05654624,94
0.05654624,94
0.05654911,82
0.05654911,82
0.05654911,56
0.05654911,61
0.05661217,168
0.05661217,168
0.05661217,102
0.05661217,123
0.05661217,78
0.056648765,66
0.056648765,66
0.056691192,88
0.056691192,88
0.0569965,80
0.0569965,52
0.0569965,62
0.0569965,80
0.056998923,99
0.056998923,137
0.056998923,89
0.056998923,137
0.056998923,63
0.057029113,53
0.057029113,76
0.057029113,76
0.057029113,59
0.057241086,83
0.057241086,75
0.057241086,117
0.057241086,117
0.057241086,51
0.057388615,97
0.057388615,142
0.057388615,142
0.057388615,67
0.057388615,105
0.057614334,76
0.057614334,118
0.057614334,118
0.057614334,58
0.057614334,80
0.05765203,53
0.05765203,53
0.057709206,115
0.057709206,115
0.057709206,58
0.057709206,76
0.057709206,70
0.05797746,54
0.05797746,54
0.05835838,64
0.05835838,54
0.05835838,64
0.058435306,71
0.058435306,89
0.058435306,64
0.058435306,89
0.058482416,64
0.058482416,85
0.058482416,65
0.058482416,85
0.058484204,124
0.058484204,188
0.058484204,112
0.058484204,188
0.058484204,79
0.05855363,189
0.05855363,124
0.05855363,140
0.05855363,83
0.05855363,189
0.058602218,67
0.058602218,114
0.058602218,73
0.058602218,114
0.05885345,146
0.05885345,146
0.05885345,97
0.05885345,100
0.05885345,74
0.05892008,62
0.05892008,62
0.058933627,357
0.058933627,199
0.058933627,357
0.058933627,134
0.058933627,238
0.058944672,61
0.058944672,61
0.059187904,58
0.059187904,58
0.05925841,60
0.05925841,60
0.05926807,68
0.05926807,76
0.05926807,109
0.05926807,109
0.059312843,53
0.059312843,53
0.059515074,52
0.059515074,52
0.059617896,138
0.059617896,186
0.059617896,121
0.059617896,186
0.059617896,75
0.059666976,127
0.059666976,168
0.059666976,94
0.059666976,168
0.059666976,79
0.05974541,287
0.05974541,287
0.05974541,170
0.05974541,206
0.05974541,124
0.059836447,50
0.059836447,50
0.06038786,157
0.06038786,98
0.06038786,111
0.06038786,78
0.06038786,157
0.06060033,73
0.06060033,56
0.06060033,73
0.06069517,55
0.06069517,61
0.06069517,84
0.06069517,84
0.061160985,59
0.061160985,91
0.061160985,125
0.061160985,86
0.061160985,125
0.061280966,101
0.061280966,148
0.061280966,82
0.061280966,148
0.061280966,87
0.061349567,53
0.061349567,53
0.061542638,117
0.061542638,82
0.061542638,117
0.061542638,57
0.061542638,82
0.061568514,52
0.061568514,52
0.06173266,50
0.06173266,50
0.062027805,65
0.062027805,83
0.062027805,83
0.062257458,56
0.062257458,56
0.062384736,94
0.062384736,126
0.062384736,85
0.062384736,126
0.062384736,56
0.06240128,131
0.06240128,79
0.06240128,96
0.06240128,65
0.06240128,131
0.062530406,81
0.062530406,81
0.062530406,53
0.06258923,117
0.06258923,73
0.06258923,87
0.06258923,56
0.06258923,117
0.06272363,173
0.06272363,173
0.06272363,100
0.06272363,113
0.06272363,71
0.062733196,82
0.062733196,109
0.062733196,69
0.062733196,109
0.06286671,113
0.06286671,72
0.06286671,75
0.06286671,113
0.06289962,52
0.06289962,52
0.06295687,90
0.06295687,55
0.06295687,123
0.06295687,123
0.06295687,78
0.06301944,81
0.06301944,54
0.06301944,106
0.06301944,106
0.06301944,70
0.06324094,50
0.06324094,50
0.06328641,91
0.06328641,91
0.06328641,52
0.06330545,55
0.06330545,81
0.06330545,81
0.06330545,55
0.0633466,62
0.0633466,62
0.06335225,223
0.06335225,142
0.06335225,158
0.06335225,94
0.06335225,223
0.06339003,63
0.06339003,63
0.06360438,79
0.06360438,143
0.06360438,143
0.06360438,89
0.06360438,112
0.06382535,54
0.06382535,54
0.06385177,60
0.06385177,60
0.0639482,72
0.0639482,72
0.064015225,114
0.064015225,155
0.064015225,97
0.064015225,155
0.064015225,75
0.06415045,64
0.06415045,85
0.06415045,85
0.06415045,58
0.06440522,57
0.06440522,90
